post_id,title,category,score,num_comments,author,collected_at
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 18:59:28.092466
47758831,FAA Says Military Can Use Anti-Drone Lasers in U.S. Airspace,science,22,5,bookofjoe,2026-04-14 19:01:17.726307
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 19:05:21.642707
47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,science,178,77,smokel,2026-04-14 19:06:40.161101
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 19:07:34.867261
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,30,13,thunderbong,2026-04-14 19:08:38.830485
47741449,SpaceX holds $603M in Bitcoin despite $5B loss stemming from xAI,science,27,9,lexandstuff,2026-04-14 19:13:02.691437
47704443,Study found that young adults have grown less hopeful and more angry about AI,science,141,185,elsewhen,2026-04-14 19:16:59.350112
47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-14 19:19:30.821906
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,155,39,cvrajeesh,2026-04-14 19:23:04.388417
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,6,2,derstruct,2026-04-14 19:23:07.641377
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,508,292,a-ve,2026-04-14 19:25:54.913931
47757552,Show HN: Continual Learning with .md,entertainment,27,26,wenhan_zhou,2026-04-14 19:26:13.294506
47724352,Filing the corners off my MacBooks,entertainment,1398,669,normanvalentine,2026-04-14 19:26:32.697701
47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,entertainment,12,1,0xchamin,2026-04-14 19:27:14.009256
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 19:27:18.001801
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,105,Rochus,2026-04-14 19:27:47.298279
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,32,3,joe_mamba,2026-04-14 19:27:59.559953
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 19:32:47.294773
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 19:33:28.973240
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 19:33:48.469966
47743700,European AI. A playbook to own it,entertainment,199,132,hjouneau,2026-04-14 19:34:07.151832
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,plonkus,2026-04-14 19:35:17.134206
47744683,Show HN: Rekal – Long-term memory for LLMs in a single SQLite file,entertainment,7,9,jeeybee,2026-04-14 19:35:27.849746
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 19:36:09.645007
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 19:36:25.099897
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 19:36:29.069855
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 19:37:05.654304
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 19:37:24.718495
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 19:38:10.237109
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-14 19:38:22.794226
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14 19:41:14.872964
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 19:42:00.371435
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 19:43:00.244642
